"Date","Price","Open","High","Low","Change %"
"24/11/2016","4.280","4.280","4.280","4.270","0.00%"
"23/11/2016","4.280","4.280","4.280","4.280","0.47%"
"22/11/2016","4.260","4.260","4.260","4.260","-0.47%"
"21/11/2016","4.280","4.280","4.280","4.280","0.94%"
"19/11/2016","4.240","4.240","4.240","4.240","0.00%"
"18/11/2016","4.240","4.240","4.240","4.240","0.71%"
"17/11/2016","4.210","4.210","4.210","4.210","0.24%"
"16/11/2016","4.200","4.200","4.210","4.200","0.48%"
"15/11/2016","4.180","4.170","4.180","4.170","-2.56%"
"14/11/2016","4.290","4.290","4.290","4.290","5.41%"
"12/11/2016","4.070","4.070","4.070","4.070","0.00%"
"11/11/2016","4.070","4.070","4.080","4.070","2.01%"
"10/11/2016","3.990","3.990","3.990","3.990","5.00%"
"09/11/2016","3.800","3.790","3.800","3.790","0.00%"
"08/11/2016","3.800","3.800","3.810","3.800","-1.81%"
"07/11/2016","3.870","3.870","3.870","3.870","-0.77%"
"05/11/2016","3.900","3.900","3.900","3.900","0.00%"
"04/11/2016","3.900","3.900","3.900","3.890","-0.76%"
"03/11/2016","3.930","3.960","3.960","3.920","-1.50%"
"02/11/2016","3.990","3.990","3.990","3.990","1.27%"
"29/10/2016","3.940","3.940","3.940","3.940","0.00%"
"28/10/2016","3.940","3.940","3.940","3.940","2.60%"
"27/10/2016","3.840","3.840","3.840","3.840","1.05%"
"26/10/2016","3.800","3.790","3.800","3.790","-0.26%"
"25/10/2016","3.810","3.830","3.830","3.800","-0.78%"
"24/10/2016","3.840","3.840","3.840","3.840","0.52%"
"22/10/2016","3.820","3.820","3.820","3.820","0.00%"
"21/10/2016","3.820","3.810","3.820","3.810","0.79%"
"20/10/2016","3.790","3.790","3.790","3.790","-0.52%"
"19/10/2016","3.810","3.800","3.810","3.800","0.79%"
"18/10/2016","3.780","3.770","3.780","3.770","0.00%"
"17/10/2016","3.780","3.770","3.780","3.770","0.27%"
"15/10/2016","3.770","3.770","3.770","3.770","0.00%"
"14/10/2016","3.770","3.760","3.770","3.760","0.80%"
"13/10/2016","3.740","3.740","3.740","3.740","-0.27%"
"12/10/2016","3.750","3.760","3.760","3.750","-0.79%"
"11/10/2016","3.780","3.770","3.780","3.770","-0.53%"
"08/10/2016","3.800","3.800","3.800","3.800","0.00%"
"07/10/2016","3.800","3.800","3.800","3.800","-3.06%"
"06/10/2016","3.920","3.920","3.920","3.920","-0.25%"
"05/10/2016","3.930","3.930","3.930","3.930","0.77%"
"04/10/2016","3.900","3.900","3.900","3.900","0.52%"
"03/10/2016","3.880","3.870","3.880","3.870","-0.26%"
"01/10/2016","3.890","3.890","3.890","3.890","0.00%"
"30/09/2016","3.890","3.880","3.890","3.880","0.78%"
"29/09/2016","3.860","3.850","3.860","3.850","-0.26%"
"28/09/2016","3.870","3.860","3.870","3.860","-0.77%"
"27/09/2016","3.900","3.900","3.900","3.900","-0.51%"
"26/09/2016","3.920","3.920","3.920","3.910","0.00%"
"25/09/2016","3.920","3.920","3.920","3.920","0.00%"
"24/09/2016","3.920","3.920","3.920","3.920","0.00%"
"23/09/2016","3.920","3.920","3.920","3.920","0.00%"
"22/09/2016","3.920","3.930","3.930","3.910","-1.01%"
"21/09/2016","3.960","3.970","3.970","3.960","-0.25%"
"20/09/2016","3.970","3.970","3.970","3.970","0.00%"
"17/09/2016","3.970","3.970","3.970","3.970","0.00%"
"16/09/2016","3.970","3.970","3.970","3.970","0.00%"
"15/09/2016","3.970","3.960","3.970","3.960","-0.50%"
"14/09/2016","3.990","3.980","3.990","3.980","0.76%"
"13/09/2016","3.960","3.950","3.960","3.950","0.25%"
"12/09/2016","3.950","3.950","3.950","3.950","0.77%"
"10/09/2016","3.920","3.920","3.920","3.920","0.00%"
"09/09/2016","3.920","3.910","3.920","3.910","0.77%"
"08/09/2016","3.890","3.890","3.890","3.890","0.00%"
"07/09/2016","3.890","3.890","3.890","3.890","-0.77%"
"06/09/2016","3.920","3.930","3.930","3.910","0.51%"
"05/09/2016","3.900","3.950","3.950","3.900","-0.26%"
"03/09/2016","3.910","3.910","3.910","3.910","0.00%"
"02/09/2016","3.910","3.910","3.910","3.910","0.00%"
"01/09/2016","3.910","3.910","3.910","3.910","0.26%"
"31/08/2016","3.900","3.900","3.900","3.900","-0.51%"
"30/08/2016","3.920","3.920","3.920","3.920","-0.25%"
"29/08/2016","3.930","3.930","3.930","3.930","1.81%"
"27/08/2016","3.860","3.860","3.860","3.860","0.00%"
"26/08/2016","3.860","3.860","3.860","3.860","-0.52%"
"25/08/2016","3.880","3.880","3.880","3.880","-0.51%"
"24/08/2016","3.900","3.900","3.900","3.900","-0.51%"
"23/08/2016","3.920","3.910","3.920","3.910","0.00%"
"22/08/2016","3.920","3.920","3.920","3.920","0.51%"
"20/08/2016","3.900","3.900","3.900","3.900","0.00%"
"19/08/2016","3.900","3.900","3.900","3.900","-0.51%"
"18/08/2016","3.920","3.920","3.920","3.920","-0.25%"
"17/08/2016","3.930","3.930","3.930","3.930","0.77%"
"16/08/2016","3.900","3.900","3.900","3.900","0.00%"
"14/08/2016","3.900","3.900","3.900","3.900","0.00%"
"13/08/2016","3.900","3.900","3.900","3.900","0.00%"
"12/08/2016","3.900","3.920","3.920","3.900","-2.01%"
"11/08/2016","3.980","4.000","4.000","3.970","-0.50%"
"10/08/2016","4.000","4.000","4.000","4.000","-0.74%"
"09/08/2016","4.030","4.030","4.030","4.030","-0.49%"
"08/08/2016","4.050","4.050","4.050","4.050","1.00%"
"06/08/2016","4.010","4.010","4.010","4.010","0.00%"
"05/08/2016","4.010","4.000","4.010","4.000","0.25%"
"04/08/2016","4.000","4.010","4.010","3.990","-0.74%"
"03/08/2016","4.030","4.040","4.040","4.020","-0.49%"
"02/08/2016","4.050","4.050","4.050","4.040","-0.49%"
"01/08/2016","4.070","4.070","4.070","4.070","-0.49%"
"30/07/2016","4.090","4.090","4.090","4.090","0.00%"
"29/07/2016","4.090","4.100","4.100","4.090","-1.21%"
"28/07/2016","4.140","4.130","4.140","4.130","-0.24%"
"27/07/2016","4.150","4.140","4.150","4.140","0.48%"
"26/07/2016","4.130","4.130","4.130","4.130","0.73%"
"25/07/2016","4.100","4.080","4.100","4.080","1.23%"
"23/07/2016","4.050","4.050","4.050","4.050","0.00%"
"22/07/2016","4.050","4.050","4.050","4.050","-0.25%"
"21/07/2016","4.060","4.050","4.060","4.050","1.00%"
"20/07/2016","4.020","4.040","4.040","4.020","0.00%"
"19/07/2016","4.020","4.010","4.020","4.010","0.00%"
"18/07/2016","4.020","4.020","4.020","4.020","0.00%"
"16/07/2016","4.020","4.020","4.020","4.020","0.00%"
"15/07/2016","4.020","4.010","4.020","4.010","-0.25%"
"14/07/2016","4.030","4.040","4.040","4.020","-0.25%"
"13/07/2016","4.040","4.040","4.040","4.040","0.50%"
"12/07/2016","4.020","4.020","4.020","4.020","0.00%"
"11/07/2016","4.020","4.020","4.020","4.020","-0.50%"
"09/07/2016","4.040","4.040","4.040","4.040","0.00%"
"08/07/2016","4.040","4.040","4.040","4.040","0.25%"
"07/07/2016","4.030","4.030","4.030","4.030","0.00%"
"06/07/2016","4.030","4.030","4.030","4.030","0.00%"
"05/07/2016","4.030","4.030","4.030","4.030","-0.49%"
"04/07/2016","4.050","4.060","4.060","4.050","-0.74%"
"02/07/2016","4.080","4.080","4.080","4.080","0.00%"
"01/07/2016","4.080","4.080","4.080","4.080","0.00%"
"30/06/2016","4.080","4.080","4.080","4.070","-0.73%"
"29/06/2016","4.110","4.110","4.110","4.110","-0.48%"
"28/06/2016","4.130","4.150","4.150","4.130","-0.72%"
"25/06/2016","4.160","4.160","4.160","4.160","0.00%"
"24/06/2016","4.160","4.150","4.160","4.150","-0.24%"
"23/06/2016","4.170","4.170","4.170","4.170","0.00%"
"22/06/2016","4.170","4.160","4.170","4.160","0.24%"
"21/06/2016","4.160","4.160","4.160","4.160","-0.24%"
"20/06/2016","4.170","4.170","4.170","4.170","0.24%"
"18/06/2016","4.160","4.160","4.160","4.160","0.00%"
"17/06/2016","4.160","4.160","4.160","4.160","0.24%"
"16/06/2016","4.150","4.150","4.150","4.150","-0.24%"
"15/06/2016","4.160","4.160","4.160","4.160","0.00%"
"14/06/2016","4.160","4.160","4.160","4.160","0.00%"
"13/06/2016","4.160","4.170","4.170","4.160","0.00%"
"11/06/2016","4.160","4.160","4.160","4.160","0.00%"
"10/06/2016","4.160","4.160","4.160","4.160","0.24%"
"09/06/2016","4.150","4.150","4.150","4.150","0.73%"
"08/06/2016","4.120","4.110","4.120","4.110","-0.72%"
"07/06/2016","4.150","4.150","4.150","4.150","0.73%"
"06/06/2016","4.120","4.120","4.120","4.120","-0.72%"
"04/06/2016","4.150","4.150","4.150","4.150","0.00%"
"03/06/2016","4.150","4.150","4.150","4.150","-0.48%"
"02/06/2016","4.170","4.170","4.170","4.170","-0.95%"
"01/06/2016","4.210","4.200","4.210","4.200","-0.47%"
"31/05/2016","4.230","4.230","4.230","4.230","0.00%"
"30/05/2016","4.230","4.220","4.230","4.220","0.48%"
"28/05/2016","4.210","4.210","4.210","4.210","0.00%"
"27/05/2016","4.210","4.210","4.210","4.210","0.48%"
"26/05/2016","4.190","4.190","4.190","4.190","-0.24%"
"25/05/2016","4.200","4.200","4.200","4.200","-0.47%"
"24/05/2016","4.220","4.220","4.220","4.220","0.96%"
"23/05/2016","4.180","4.180","4.180","4.180","0.00%"
"21/05/2016","4.180","4.180","4.180","4.180","0.00%"
"20/05/2016","4.180","4.180","4.180","4.180","-0.48%"
"19/05/2016","4.200","4.200","4.200","4.200","-0.24%"
"18/05/2016","4.210","4.210","4.210","4.210","0.96%"
"17/05/2016","4.170","4.170","4.170","4.170","0.48%"
"16/05/2016","4.150","4.150","4.150","4.150","0.73%"
"14/05/2016","4.120","4.120","4.120","4.120","0.00%"
"13/05/2016","4.120","4.120","4.120","4.110","-0.24%"
"12/05/2016","4.130","4.130","4.130","4.130","0.49%"
"11/05/2016","4.110","4.110","4.110","4.110","0.49%"
"10/05/2016","4.090","4.090","4.090","4.090","0.49%"
"09/05/2016","4.070","4.070","4.070","4.070","-0.49%"
"07/05/2016","4.090","4.090","4.090","4.090","0.00%"
"06/05/2016","4.090","4.090","4.090","4.080","-0.24%"
"05/05/2016","4.100","4.110","4.110","4.100","-0.24%"
"04/05/2016","4.110","4.110","4.110","4.110","-0.24%"
"03/05/2016","4.120","4.120","4.120","4.120","-0.24%"
"02/05/2016","4.130","4.130","4.130","4.120","0.00%"
"30/04/2016","4.130","4.130","4.130","4.130","0.00%"
"29/04/2016","4.130","4.130","4.130","4.120","-0.24%"
"28/04/2016","4.140","4.130","4.140","4.130","0.98%"
"27/04/2016","4.100","4.090","4.120","4.090","0.00%"
"26/04/2016","4.100","4.100","4.100","4.100","-0.24%"
"25/04/2016","4.110","4.100","4.110","4.100","-0.24%"
"23/04/2016","4.120","4.120","4.120","4.120","0.00%"
"22/04/2016","4.120","4.120","4.120","4.120","0.73%"
"21/04/2016","4.090","4.090","4.090","4.090","-0.24%"
"20/04/2016","4.100","4.100","4.100","4.100","0.24%"
"19/04/2016","4.090","4.090","4.090","4.090","-0.49%"
"18/04/2016","4.110","4.110","4.110","4.100","0.24%"
"16/04/2016","4.100","4.100","4.100","4.100","0.00%"
"15/04/2016","4.100","4.090","4.100","4.090","0.00%"
"14/04/2016","4.100","4.100","4.100","4.090","-0.24%"
"13/04/2016","4.110","4.100","4.110","4.100","-0.24%"
"12/04/2016","4.120","4.110","4.120","4.110","0.00%"
"11/04/2016","4.120","4.110","4.120","4.110","0.00%"
"09/04/2016","4.120","4.120","4.120","4.120","0.00%"
"08/04/2016","4.120","4.120","4.120","4.120","-0.96%"
"07/04/2016","4.160","4.160","4.160","4.160","-0.24%"
"06/04/2016","4.170","4.170","4.170","4.170","-0.24%"
"05/04/2016","4.180","4.170","4.180","4.170","0.24%"
"04/04/2016","4.170","4.160","4.170","4.160","0.24%"
"02/04/2016","4.160","4.160","4.160","4.160","0.00%"
"01/04/2016","4.160","4.160","4.160","4.160","0.00%"
"31/03/2016","4.160","4.160","4.160","4.160","-0.24%"
"30/03/2016","4.170","4.160","4.170","4.160","0.00%"
"29/03/2016","4.170","4.180","4.180","4.170","-0.71%"
"28/03/2016","4.200","4.200","4.200","4.190","0.00%"
"25/03/2016","4.200","4.200","4.200","4.200","0.00%"
"24/03/2016","4.200","4.200","4.200","4.200","0.00%"
"23/03/2016","4.200","4.200","4.200","4.200","0.00%"
"22/03/2016","4.200","4.200","4.200","4.200","-0.24%"
"21/03/2016","4.210","4.210","4.210","4.210","0.48%"
"19/03/2016","4.190","4.190","4.190","4.190","0.00%"
"18/03/2016","4.190","4.190","4.190","4.190","-0.48%"
"17/03/2016","4.210","4.210","4.210","4.210","-1.17%"
"16/03/2016","4.260","4.260","4.260","4.260","0.24%"
"15/03/2016","4.250","4.250","4.250","4.250","0.00%"
"14/03/2016","4.250","4.250","4.250","4.250","0.47%"
"12/03/2016","4.230","4.230","4.230","4.230","0.00%"
"11/03/2016","4.230","4.230","4.240","4.230","0.71%"
"10/03/2016","4.200","4.200","4.200","4.200","0.00%"
"09/03/2016","4.200","4.180","4.200","4.180","0.00%"
"08/03/2016","4.200","4.200","4.200","4.200","0.48%"
"07/03/2016","4.180","4.180","4.180","4.180","0.24%"
"05/03/2016","4.170","4.170","4.170","4.170","0.00%"
